Multiples,Name,Spec_Genre
1,Dear Zoo: A Lift-the-Flap Book,Picture Books
2,Dear Zoo: A Lift-the-Flap Book,Childrens
3,Dear Zoo: A Lift-the-Flap Book,Animals
4,Dear Zoo: A Lift-the-Flap Book,Childrens
5,Dear Zoo: A Lift-the-Flap Book,Storytime
6,Dear Zoo: A Lift-the-Flap Book,Fiction
7,Dear Zoo: A Lift-the-Flap Book,Classics
8,Dear Zoo: A Lift-the-Flap Book,Kids
0,Decision Points,Biography
1,Decision Points,Nonfiction
2,Decision Points,Politics
3,Decision Points,History
4,Decision Points,Autobiography
5,Decision Points,Memoir
6,Decision Points,Politics
7,Decision Points,Presidents
8,Decision Points,Biography
9,Decision Points,Autobiography
10,Decision Points,North American Hi...
11,Decision Points,American History
12,Decision Points,Biography Memoir
13,Decision Points,Leadership
0,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Business
1,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Nonfiction
2,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Leadership
3,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Business
4,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Entrepreneurship
5,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Biography
6,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Business
7,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Management
8,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Self Help
9,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Buisness
10,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Self Help
11,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Personal Development
12,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Audiobook
0,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),Childrens
0,Divergent,Nonfiction
1,Divergent,Science Fiction
2,Divergent,Dystopia
3,Divergent,Psychology
4,Divergent,Anthologies
0,Divergent / Insurgent,Young Adult
1,Divergent / Insurgent,Fiction
2,Divergent / Insurgent,Science Fiction
3,Divergent / Insurgent,Dystopia
4,Divergent / Insurgent,Fantasy
5,Divergent / Insurgent,Science Fiction
6,Divergent / Insurgent,Romance
7,Divergent / Insurgent,Adventure
8,Divergent / Insurgent,Apocalyptic
9,Divergent / Insurgent,Post Apocalyptic
10,Divergent / Insurgent,Young Adult
11,Divergent / Insurgent,Teen
12,Divergent / Insurgent,Action
0,Doctor Sleep: A Novel,Horror
1,Doctor Sleep: A Novel,Fiction
2,Doctor Sleep: A Novel,Thriller
3,Doctor Sleep: A Novel,Fantasy
4,Doctor Sleep: A Novel,Fantasy
5,Doctor Sleep: A Novel,Paranormal
6,Doctor Sleep: A Novel,Audiobook
7,Doctor Sleep: A Novel,Fantasy
8,Doctor Sleep: A Novel,Supernatural
9,Doctor Sleep: A Novel,Mystery
10,Doctor Sleep: A Novel,Suspense
11,Doctor Sleep: A Novel,Adult
0,Dog Man: Grime and Punishment,Sequential Art
1,Dog Man: Grime and Punishment,Graphic Novels
2,Dog Man: Grime and Punishment,Fiction
3,Dog Man: Grime and Punishment,Sequential Art
4,Dog Man: Grime and Punishment,Comics
5,Dog Man: Grime and Punishment,Childrens
6,Dog Man: Grime and Punishment,Middle Grade
7,Dog Man: Grime and Punishment,Childrens
8,Dog Man: Grime and Punishment,Humor
9,Dog Man: Grime and Punishment,Childrens
10,Dog Man: Grime and Punishment,Juvenile
11,Dog Man: Grime and Punishment,Animals
12,Dog Man: Grime and Punishment,Animals
13,Dog Man: Grime and Punishment,Dogs
14,Dog Man: Grime and Punishment,Animals
15,Dog Man: Grime and Punishment,Cats
0,Double Down (Diary of a Wimpy Kid #11),Humor
1,Double Down (Diary of a Wimpy Kid #11),Fiction
2,Double Down (Diary of a Wimpy Kid #11),Childrens
3,Double Down (Diary of a Wimpy Kid #11),Middle Grade
4,Double Down (Diary of a Wimpy Kid #11),Childrens
5,Double Down (Diary of a Wimpy Kid #11),Sequential Art
6,Double Down (Diary of a Wimpy Kid #11),Graphic Novels
7,Double Down (Diary of a Wimpy Kid #11),Young Adult
8,Double Down (Diary of a Wimpy Kid #11),Realistic Fiction
9,Double Down (Diary of a Wimpy Kid #11),Humor
10,Double Down (Diary of a Wimpy Kid #11),Comedy
11,Double Down (Diary of a Wimpy Kid #11),Sequential Art
12,Double Down (Diary of a Wimpy Kid #11),Comics
13,Double Down (Diary of a Wimpy Kid #11),Diary
0,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Nonfiction
1,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Food and Drink
2,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Food
3,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Health
4,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Food and Drink
5,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Cookbooks
6,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Reference
7,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Food and Drink
8,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Cooking
9,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Health
10,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Nutrition
11,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Food and Drink
12,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Diets
13,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Self Help
14,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,How To
0,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",Nonfiction
1,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",Food and Drink
2,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",Cookbooks
0,Eclipse (Twilight Sagas),Young Adult
1,Eclipse (Twilight Sagas),Fantasy
2,Eclipse (Twilight Sagas),Romance
3,Eclipse (Twilight Sagas),Paranormal
4,Eclipse (Twilight Sagas),Vampires
5,Eclipse (Twilight Sagas),Fiction
6,Eclipse (Twilight Sagas),Fantasy
7,Eclipse (Twilight Sagas),Paranormal
8,Eclipse (Twilight Sagas),Romance
9,Eclipse (Twilight Sagas),Paranormal Romance
10,Eclipse (Twilight Sagas),Fantasy
11,Eclipse (Twilight Sagas),Supernatural
12,Eclipse (Twilight Sagas),Shapeshifters
13,Eclipse (Twilight Sagas),Werewolves
14,Eclipse (Twilight Sagas),Young Adult
15,Eclipse (Twilight Sagas),Teen
0,Eclipse (Twilight),Young Adult
1,Eclipse (Twilight),Fantasy
2,Eclipse (Twilight),Romance
3,Eclipse (Twilight),Paranormal
4,Eclipse (Twilight),Vampires
5,Eclipse (Twilight),Fiction
6,Eclipse (Twilight),Fantasy
7,Eclipse (Twilight),Paranormal
8,Eclipse (Twilight),Romance
9,Eclipse (Twilight),Paranormal Romance
10,Eclipse (Twilight),Fantasy
11,Eclipse (Twilight),Supernatural
12,Eclipse (Twilight),Shapeshifters
13,Eclipse (Twilight),Werewolves
14,Eclipse (Twilight),Young Adult
15,Eclipse (Twilight),Teen
0,Fahrenheit 451,Fiction
1,Fahrenheit 451,Science Fiction
2,Fahrenheit 451,Classics
3,Fahrenheit 451,Literature
4,Fahrenheit 451,Criticism
5,Fahrenheit 451,Literary Criticism
6,Fahrenheit 451,Science Fiction
7,Fahrenheit 451,Dystopia
8,Fahrenheit 451,Writing
9,Fahrenheit 451,Essays
10,Fahrenheit 451,Politics
0,Fire and Fury: Inside the Trump White House,Nonfiction
1,Fire and Fury: Inside the Trump White House,Politics
2,Fire and Fury: Inside the Trump White House,History
3,Fire and Fury: Inside the Trump White House,Audiobook
4,Fire and Fury: Inside the Trump White House,Biography
5,Fire and Fury: Inside the Trump White House,North American Hi...
6,Fire and Fury: Inside the Trump White House,American History
7,Fire and Fury: Inside the Trump White House,Unfinished
8,Fire and Fury: Inside the Trump White House,Politics
9,Fire and Fury: Inside the Trump White House,Presidents
10,Fire and Fury: Inside the Trump White House,The United States Of America
11,Fire and Fury: Inside the Trump White House,Writing
12,Fire and Fury: Inside the Trump White House,Journalism
0,First 100 Words,Childrens
1,First 100 Words,Childrens
2,First 100 Words,Picture Books
3,First 100 Words,Kids
4,First 100 Words,Animals
5,First 100 Words,Nonfiction
6,First 100 Words,Art
7,First 100 Words,Photography
8,First 100 Words,Childrens
9,First 100 Words,Juvenile
0,Food Rules: An Eater's Manual,Nonfiction
1,Food Rules: An Eater's Manual,Food and Drink
2,Food Rules: An Eater's Manual,Food
3,Food Rules: An Eater's Manual,Health
4,Food Rules: An Eater's Manual,Health
5,Food Rules: An Eater's Manual,Nutrition
6,Food Rules: An Eater's Manual,Science
7,Food Rules: An Eater's Manual,Food and Drink
8,Food Rules: An Eater's Manual,Cooking
9,Food Rules: An Eater's Manual,Self Help
10,Food Rules: An Eater's Manual,Food and Drink
11,Food Rules: An Eater's Manual,Cookbooks
12,Food Rules: An Eater's Manual,Food and Drink
13,Food Rules: An Eater's Manual,Foodie
14,Food Rules: An Eater's Manual,Food and Drink
15,Food Rules: An Eater's Manual,Food Writing
0,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",Politics
1,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",Nonfiction
2,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",History
3,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",North American Hi...
4,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",American History
5,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",Biography
6,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",Politics
7,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",Presidents
8,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",Audiobook
9,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",Writing
